part_id,folder,draw_order,primary_deformer,deformer_chain,direct_binding_count,physics_profile_count,bbox,vertex_count,triangle_count
eye_R_blink,Eye,537,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[854, 325, 139, 144]",150,240
eye_R_smile,Eye,539,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[854, 325, 139, 144]",150,240
eye_expr_heart,Eye,565,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[838, 291, 370, 156]",20,24
eye_expr_jito,Eye,563,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[838, 291, 370, 156]",20,24
eye_expr_smile,Eye,560,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[838, 291, 370, 156]",150,240
eye_expr_squeeze,Eye,564,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[838, 291, 370, 156]",20,24
eye_expr_surprise,Eye,562,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[838, 291, 370, 157]",20,24
eye_expr_wink,Eye,561,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[838, 291, 370, 156]",20,24
face_base,Face,319,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[825, 113, 383, 502]",81,127
hair_back_L,Hair,100,back_hair_warp,root_warp>back_hair_warp,0,1,"[757, 34, 395, 654]",36,50
hair_back_R,Hair,101,back_hair_warp,root_warp>back_hair_warp,0,1,"[1038, 37, 395, 898]",36,46
hair_front_C,Hair,701,front_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1,"[885, 93, 257, 470]",36,47
hair_front_L,Hair,700,front_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1,"[800, 93, 199, 470]",36,48
hair_front_R,Hair,702,front_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1,"[1028, 100, 200, 383]",36,50
mouth_line,Mouth,410,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[971, 510, 108, 21]",20,24
mouth_parts_interior,Mouth,411,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[972, 511, 105, 67]",20,24
mouth_parts_lower_lip,Mouth,414,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[987, 550, 76, 28]",20,24
mouth_parts_teeth,Mouth,413,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[977, 511, 95, 15]",20,24
mouth_parts_tongue,Mouth,412,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[991, 541, 67, 29]",20,24
mouth_parts_upper_lip,Mouth,415,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[978, 510, 93, 11]",20,24
neck,Body,200,neck_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,0,"[952, 467, 167, 254]",20,24
neck_skin,Body,211,neck_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,0,"[934, 640, 182, 130]",81,128
neck_under,Body,199,body_warp,root_warp>body_warp,0,0,"[959, 628, 132, 51]",20,24
nose_reference,Face,415,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[1001, 441, 25, 35]",20,24
raw_bottomwear,Face,205,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[504, 1284, 1033, 764]",20,23
raw_eyewear,Eye,620,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
raw_footwear,Face,203,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
raw_legwear,Face,204,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
shoulder_hair,Hair,212,back_hair_warp,root_warp>back_hair_warp,0,1,"[1208, 721, 45, 57]",36,50
